id,lat,lng,rate_hourly
1,43.669282202140174,-79.3852894625656,5.0
2,43.667577,-79.384707,6.0
3,43.664837,-79.383591,6.0
4,43.687092,-79.39285,6.0
5,43.68919056469554,-79.39269983525526,7.0
6,43.689,-79.395586,6.0
7,43.679713,-79.345375,3.5
8,43.664581,-79.463993,3.0
9,43.664736,-79.468124,3.0
10,43.686541,-79.310957,3.0
11,43.685377,-79.311708,3.0
12,43.652705,-79.377218,7.0
13,43.678146,-79.344774,3.0
14,43.706469,-79.396348,4.0
15,43.656004,-79.379933,6.0
16,43.651696,-79.383699,7.0
17,43.711828,-79.400082,6.0
18,43.678365,-79.443882,3.5
19,43.676817,-79.445239,2.0
20,43.64644,-79.373066,5.0
21,43.640788,-79.439542,3.0
22,43.659179,-79.349774,2.0
23,43.704445,-79.412076,3.0
24,43.6704624,-79.2979613,3.0
25,43.708276,-79.397786,5.0
26,43.665054,-79.409662,4.0
27,43.6455358,-79.38272369999999,8.0
28,43.644546,-79.410778,4.0
29,43.72677,-79.40433,2.0
30,43.66895845653576,-79.39712002202072,6.0
31,43.650881,-79.479014,3.0
32,43.654303,-79.400079,5.0
33,43.654184,-79.403176,5.0
34,43.677316,-79.357467,4.0
35,43.66452,-79.373502,3.5
36,43.66611,-79.465045,2.5
37,43.658969,-79.442739,3.0
38,43.659412,-79.440143,2.5
39,43.661011,-79.431667,2.5
40,43.665039,-79.413579,4.0
41,43.678456,-79.351223,3.0
42,43.679007,-79.348379,3.0
43,43.679954,-79.343948,3.0
44,43.680078,-79.343197,3.0
45,43.650283,-79.483039,3.0
46,43.664651,-79.416014,4.0
47,43.641635,-79.399159,4.0
48,43.662431,-79.425648,4.0
49,43.648412,-79.400307,4.0
50,43.677378,-79.40035,2.0
51,43.664703,-79.36905,4.0
52,43.683577,-79.322995,3.0
53,43.656159,-79.41448,3.0
54,43.65168,-79.475119,3.0
55,43.653381,-79.368582,5.0
56,43.660899,-79.433013,2.0
57,43.700543,-79.428073,2.5
58,43.675143,-79.457513,2.0
59,43.679481,-79.346287,3.0
60,43.713751,-79.399213,4.0
61,43.676198,-79.447739,2.0
62,43.680613,-79.340751,3.0
63,43.650431,-79.481771,3.0
64,43.664441,-79.41758,3.0
65,43.665202,-79.353164,2.0
66,43.68035,-79.342339,3.0
67,43.652954,-79.397024,4.0
68,43.730266,-79.402734,3.0
69,43.699612,-79.431131,2.5
70,43.678945,-79.348798,3.0
71,43.704181,-79.374053,2.0
72,43.64095,-79.433856,3.0
73,43.688007,-79.395468,4.0
74,43.689543,-79.412946,3.0
75,43.644655,-79.419286,3.0
76,43.650423,-79.424404,3.0
77,43.671707,-79.294358,3.0
78,43.706702,-79.38975,4.0
79,43.682926,-79.324476,3.0
80,43.672598,-79.322941,2.0
81,43.704763,-79.388956,3.0
82,43.665784,-79.350195,2.0
83,43.672047,-79.320366,2.0
84,43.637863,-79.424011,4.0
85,43.668252,-79.306226,2.0
86,43.668004,-79.307384,2.0
87,43.667724,-79.308522,2.0
88,43.667445,-79.309487,2.0
89,43.667107,-79.31074,2.0
